name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Harleton,11830,Valid,L6,8360.0,Fell,01/01/1961 12:00:00 AM,32.675,-94.51167,"(32.675, -94.51167)"
Higashi-koen,11883,Valid,H5,750.0,Fell,01/01/1897 12:00:00 AM,33.6,130.43333,"(33.6, 130.43333)"
Hoxie,11915,Valid,OC,266.1,Fell,01/01/1963 12:00:00 AM,39.35,-100.45,"(39.35, -100.45)"
Hraschina,11916,Valid,"Iron, IID",49000.0,Fell,01/01/1751 12:00:00 AM,46.1,16.33333,"(46.1, 16.33333)"
Ibrisim,11994,Valid,OC,,Fell,01/01/1949 12:00:00 AM,38.0,35.0,"(38.0, 35.0)"
Ichkala,11995,Valid,H6,3973.0,Fell,01/01/1936 12:00:00 AM,58.2,82.93333,"(58.2, 82.93333)"
Ipiranga,12043,Valid,H6,7000.0,Fell,01/01/1972 12:00:00 AM,-25.5,-54.5,"(-25.5, -54.5)"
Isthilart,12053,Valid,H5,3050.0,Fell,01/01/1928 12:00:00 AM,-31.18333,-57.95,"(-31.18333, -57.95)"
Itqiy,12058,Valid,EH7-an,4720.0,Fell,01/01/1990 12:00:00 AM,26.59083,-12.95217,"(26.59083, -12.95217)"
Jackalsfontein,12065,Valid,L6,48000.0,Fell,01/01/1903 12:00:00 AM,-32.5,21.9,"(-32.5, 21.9)"
Jajh deh Kot Lalu,12067,Valid,EL6,973.0,Fell,01/01/1926 12:00:00 AM,26.75,68.41667,"(26.75, 68.41667)"
Jiange,12086,Valid,H5,222.0,Fell,01/01/1964 12:00:00 AM,31.91667,104.91667,"(31.91667, 104.91667)"
Kabo,12220,Valid,H4,13400.0,Fell,01/01/1971 12:00:00 AM,11.85,8.21667,"(11.85, 8.21667)"
Kakowa,12231,Valid,L6,577.0,Fell,01/01/1858 12:00:00 AM,45.13333,21.66667,"(45.13333, 21.66667)"
Kasauli,30740,Valid,H4,16820.0,Fell,01/01/2003 12:00:00 AM,29.58333,77.58333,"(29.58333, 77.58333)"
Kiel,12301,Valid,L6,737.6,Fell,01/01/1962 12:00:00 AM,54.4,10.15,"(54.4, 10.15)"
Krähenberg,12353,Valid,LL5,16500.0,Fell,01/01/1869 12:00:00 AM,49.32694,7.46472,"(49.32694, 7.46472)"
Krasnoi-Ugol,12355,Valid,L6,2440.0,Fell,01/01/1829 12:00:00 AM,54.03333,40.9,"(54.03333, 40.9)"
Kunya-Urgench,12379,Valid,H5,1100000.0,Fell,01/01/1998 12:00:00 AM,42.25,59.2,"(42.25, 59.2)"
Lancé,12455,Valid,CO3.5,51700.0,Fell,01/01/1872 12:00:00 AM,47.7,1.06667,"(47.7, 1.06667)"
Laochenzhen,12466,Valid,H5,14250.0,Fell,01/01/1987 12:00:00 AM,33.13333,115.16667,"(33.13333, 115.16667)"
Launton,12740,Valid,L6,1060.0,Fell,01/01/1830 12:00:00 AM,51.9,-1.11667,"(51.9, -1.11667)"
Leighlinbridge,12759,Valid,L6,271.4,Fell,01/01/1999 12:00:00 AM,52.66667,-6.96667,"(52.66667, -6.96667)"
Lichtenberg,14646,Valid,H6,4000.0,Fell,01/01/1973 12:00:00 AM,-26.15,26.18333,"(-26.15, 26.18333)"
Łowicz,14718,Valid,Mesosiderite-A3,59000.0,Fell,01/01/1935 12:00:00 AM,52.0,19.91667,"(52.0, 19.91667)"
Lunan,14754,Valid,H6,2520.0,Fell,01/01/1980 12:00:00 AM,24.8,103.3,"(24.8, 103.3)"
Lundsgård,14755,Valid,L6,11000.0,Fell,01/01/1889 12:00:00 AM,56.21667,13.03333,"(56.21667, 13.03333)"
Mabwe-Khoywa,14764,Valid,L5,540.0,Fell,01/01/1937 12:00:00 AM,19.0,97.0,"(19.0, 97.0)"
Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,Fell,01/01/1899 12:00:00 AM,37.86667,27.51667,"(37.86667, 27.51667)"
Mardan,15414,Valid,H5,4500.0,Fell,01/01/1948 12:00:00 AM,34.23333,72.08333,"(34.23333, 72.08333)"
Mauerkirchen,15446,Valid,L6,19000.0,Fell,01/01/1768 12:00:00 AM,48.18333,13.13333,"(48.18333, 13.13333)"
Mayo Belwa,15451,Valid,Aubrite,4850.0,Fell,01/01/1974 12:00:00 AM,8.96667,12.08333,"(8.96667, 12.08333)"
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,01/01/1885 12:00:00 AM,24.68333,-101.68333,"(24.68333, -101.68333)"
Mike,16636,Valid,L6,224.2,Fell,01/01/1944 12:00:00 AM,46.23333,17.53333,"(46.23333, 17.53333)"
Monahans (1998),16719,Valid,H5,2587.0,Fell,01/01/1998 12:00:00 AM,31.60833,-102.85833,"(31.60833, -102.85833)"
Montferré,16727,Valid,H5,149000.0,Fell,01/01/1923 12:00:00 AM,43.39056,1.9625,"(43.39056, 1.9625)"
Moorleah,16738,Valid,L6,8887.5,Fell,01/01/1930 12:00:00 AM,-40.975,145.6,"(-40.975, 145.6)"
Moti-ka-nagla,16759,Valid,H6,1500.0,Fell,01/01/1868 12:00:00 AM,26.83333,77.33333,"(26.83333, 77.33333)"
Murchison,16875,Valid,CM2,100000.0,Fell,01/01/1969 12:00:00 AM,-36.61667,145.2,"(-36.61667, 145.2)"
Nagai,16890,Valid,L6,1810.0,Fell,01/01/1922 12:00:00 AM,38.12167,140.06167,"(38.12167, 140.06167)"
Nantong,16907,Valid,H6,529.0,Fell,01/01/1984 12:00:00 AM,32.11667,121.8,"(32.11667, 121.8)"
Naoki,16908,Valid,H6,17000.0,Fell,01/01/1928 12:00:00 AM,19.25,77.0,"(19.25, 77.0)"
Nerft,16945,Valid,L6,10250.0,Fell,01/01/1864 12:00:00 AM,56.5,21.5,"(56.5, 21.5)"
Neuschwanstein,16950,Valid,EL6,6189.0,Fell,01/01/2002 12:00:00 AM,47.525,10.80833,"(47.525, 10.80833)"
New Concord,16953,Valid,L6,230000.0,Fell,01/01/1860 12:00:00 AM,40.0,-81.76667,"(40.0, -81.76667)"
Niger (L6),16974,Valid,L6,3.3,Fell,01/01/1967 12:00:00 AM,,,
Ningbo,16980,Valid,"Iron, IVA",14250.0,Fell,01/01/1975 12:00:00 AM,29.86667,121.48333,"(29.86667, 121.48333)"
Nulles,17959,Valid,H6,5000.0,Fell,01/01/1851 12:00:00 AM,41.63333,0.75,"(41.63333, 0.75)"
Nyirábrany,17970,Valid,LL5,1100.0,Fell,01/01/1914 12:00:00 AM,47.55,22.025,"(47.55, 22.025)"
Oldenburg (1930),18009,Valid,L6,16570.0,Fell,01/01/1930 12:00:00 AM,52.95,8.16667,"(52.95, 8.16667)"
Oliva-Gandia,18012,Valid,Stone-uncl,,Fell,12/22/1519 12:00:00 AM,39.0,-0.03333,"(39.0, -0.03333)"
Omolon,18019,Valid,"Pallasite, PMG",250000.0,Fell,01/01/1981 12:00:00 AM,64.02,161.80833,"(64.02, 161.80833)"
Oterøy,18042,Valid,L6,246.0,Fell,01/01/1928 12:00:00 AM,58.88333,9.4,"(58.88333, 9.4)"
Padvarninkai,18069,Valid,Eucrite-mmict,3858.0,Fell,01/01/1929 12:00:00 AM,55.66667,25.0,"(55.66667, 25.0)"
Patti,18118,Valid,Iron,12.0,Fell,01/01/1922 12:00:00 AM,38.13333,14.96667,"(38.13333, 14.96667)"
Pavlovka,18177,Valid,Howardite,2000.0,Fell,01/01/1882 12:00:00 AM,52.03333,43.0,"(52.03333, 43.0)"
Pétèlkolé,18800,Valid,H5,189.0,Fell,01/01/1995 12:00:00 AM,14.052,0.42,"(14.052, 0.42)"
Phum Sambo,18811,Valid,H4,7800.0,Fell,01/01/1933 12:00:00 AM,12.0,105.48333,"(12.0, 105.48333)"
Ploschkovitz,18849,Valid,L5,39.0,Fell,01/01/1723 12:00:00 AM,50.53333,14.11667,"(50.53333, 14.11667)"
Punganaru,18902,Valid,Stone-uncl,100.0,Fell,01/01/1811 12:00:00 AM,13.33333,78.95,"(13.33333, 78.95)"
Queen's Mercy,22357,Valid,H6,7000.0,Fell,01/01/1925 12:00:00 AM,-30.11667,28.7,"(-30.11667, 28.7)"
San Juan Capistrano,23128,Valid,H6,56.0,Fell,01/01/1973 12:00:00 AM,33.48472,-117.6625,"(33.48472, -117.6625)"
Schönenberg,23460,Valid,L6,8000.0,Fell,01/01/1846 12:00:00 AM,48.11667,10.46667,"(48.11667, 10.46667)"
Serra de Magé,23502,Valid,Eucrite-cm,1800.0,Fell,01/01/1923 12:00:00 AM,-8.38333,-36.76667,"(-8.38333, -36.76667)"
Shytal,23584,Valid,L6,3200.0,Fell,01/01/1863 12:00:00 AM,24.33333,90.16667,"(24.33333, 90.16667)"
Silao,23594,Valid,H5,1710.0,Fell,01/01/1995 12:00:00 AM,20.93333,-101.38333,"(20.93333, -101.38333)"
Slobodka,23645,Valid,L4,2750.0,Fell,01/01/1818 12:00:00 AM,55.0,35.0,"(55.0, 35.0)"
Songyuan,23668,Valid,L6,36900.0,Fell,01/01/1993 12:00:00 AM,45.25,125.0,"(45.25, 125.0)"
St. Denis Westrem,23083,Valid,L6,700.0,Fell,01/01/1855 12:00:00 AM,51.05,3.75,"(51.05, 3.75)"
St. Mark's,23090,Valid,EH5,13780.0,Fell,01/01/1903 12:00:00 AM,-32.01667,27.41667,"(-32.01667, 27.41667)"
St.-Chinian,23097,Valid,L6,134.3,Fell,01/01/1959 12:00:00 AM,43.43333,2.95,"(43.43333, 2.95)"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,Fell,01/01/1990 12:00:00 AM,53.66667,55.98333,"(53.66667, 55.98333)"
Stratford,23728,Valid,L6,50.0,Fell,01/01/1974 12:00:00 AM,41.2,-73.13333,"(41.2, -73.13333)"
Sultanpur,23741,Valid,L/LL6,1710.5,Fell,01/01/1916 12:00:00 AM,25.93333,84.28333,"(25.93333, 84.28333)"
Thal,23908,Valid,H6,342.0,Fell,01/01/1950 12:00:00 AM,33.4,70.6,"(33.4, 70.6)"
Thuathe,23976,Valid,H4/5,45300.0,Fell,01/01/2002 12:00:00 AM,-29.33333,27.58333,"(-29.33333, 27.58333)"
Tissint,54823,Valid,Martian (shergottite),7000.0,Fell,01/01/2011 12:00:00 AM,29.48195,-7.61123,"(29.48195, -7.61123)"
Tjabe,24011,Valid,H6,20000.0,Fell,01/01/1869 12:00:00 AM,-7.08333,111.53333,"(-7.08333, 111.53333)"
Torrington,24032,Valid,H6,259.1,Fell,01/01/1944 12:00:00 AM,42.06667,-104.16667,"(42.06667, -104.16667)"
Trenzano,24046,Valid,H3/4,11800.0,Fell,01/01/1856 12:00:00 AM,45.46667,10.0,"(45.46667, 10.0)"
Uden,24103,Valid,LL7,710.0,Fell,01/01/1840 12:00:00 AM,51.65,5.61667,"(51.65, 5.61667)"
Varre-Sai,53633,Valid,L5,2500.0,Fell,01/01/2010 12:00:00 AM,-20.85001,-41.73356,"(-20.85001, -41.73356)"
Vernon County,24168,Valid,H6,1500.0,Fell,01/01/1865 12:00:00 AM,43.5,-91.16667,"(43.5, -91.16667)"
Vigarano,24174,Valid,CV3,15000.0,Fell,01/01/1910 12:00:00 AM,44.85,11.4,"(44.85, 11.4)"
Villalbeto de la Peña,24179,Valid,L6,3500.0,Fell,01/01/2004 12:00:00 AM,42.8,-4.66667,"(42.8, -4.66667)"
Wessely,24244,Valid,H5,3750.0,Fell,01/01/1831 12:00:00 AM,48.95,17.38333,"(48.95, 17.38333)"
Woolgorong,24334,Valid,L6,36000.0,Fell,01/01/1960 12:00:00 AM,-27.75,115.83333,"(-27.75, 115.83333)"
Yambo,30345,Valid,H5,4.0,Fell,01/01/1951 12:00:00 AM,1.0,22.5,"(1.0, 22.5)"
Zebrak,30397,Valid,H5,2000.0,Fell,01/01/1824 12:00:00 AM,49.88333,13.91667,"(49.88333, 13.91667)"
Zhuanghe,30408,Valid,H5,2900.0,Fell,01/01/1976 12:00:00 AM,39.66667,122.98333,"(39.66667, 122.98333)"
Zmenj,30411,Valid,Howardite,246.0,Fell,01/01/1858 12:00:00 AM,51.83333,26.83333,"(51.83333, 26.83333)"
Zvonkov,30415,Valid,H6,2568.0,Fell,01/01/1955 12:00:00 AM,50.2,30.25,"(50.2, 30.25)"
Abernathy,7,Valid,L6,2914.0,Found,01/01/1941 12:00:00 AM,33.85,-101.8,"(33.85, -101.8)"
Acfer 001,11,Valid,L6,6700.0,Found,01/01/1989 12:00:00 AM,27.5,3.61667,"(27.5, 3.61667)"
Acfer 028,38,Valid,H3.8,3130.0,Found,01/01/1989 12:00:00 AM,27.66667,4.25,"(27.66667, 4.25)"
Acfer 040,50,Valid,L5-6,146.0,Found,01/01/1989 12:00:00 AM,27.46667,3.78333,"(27.46667, 3.78333)"
Acfer 073,82,Valid,H5,2010.0,Found,01/01/1990 12:00:00 AM,27.53333,3.85,"(27.53333, 3.85)"
Acfer 074,83,Valid,L6,384.0,Found,01/01/1990 12:00:00 AM,27.48333,3.83333,"(27.48333, 3.83333)"
Acfer 086,95,Valid,CV3,173.0,Found,01/01/1990 12:00:00 AM,27.66667,4.18333,"(27.66667, 4.18333)"
Acfer 087,96,Valid,CR2,163.0,Found,01/01/1990 12:00:00 AM,27.7,4.26667,"(27.7, 4.26667)"
Acfer 114,123,Valid,CR2,43.0,Found,01/01/1990 12:00:00 AM,27.6,3.96667,"(27.6, 3.96667)"
Acfer 125,134,Valid,L6,3380.0,Found,01/01/1990 12:00:00 AM,27.68333,4.35,"(27.68333, 4.35)"
Acfer 156,165,Valid,L6,240.0,Found,01/01/1990 12:00:00 AM,27.66667,4.23333,"(27.66667, 4.23333)"
Acfer 162,171,Valid,H3-6,1281.0,Found,01/01/1990 12:00:00 AM,27.66667,4.01667,"(27.66667, 4.01667)"
Acfer 185,193,Valid,LL5,109.0,Found,01/01/1990 12:00:00 AM,27.53333,3.83333,"(27.53333, 3.83333)"
Acfer 200,208,Valid,H3-6,1301.0,Found,01/01/1991 12:00:00 AM,27.50194,3.92111,"(27.50194, 3.92111)"
Acfer 209,217,Valid,CR2,475.0,Found,01/01/1991 12:00:00 AM,27.50472,3.88194,"(27.50472, 3.88194)"
Acfer 218,226,Valid,L6,114.0,Found,01/01/1991 12:00:00 AM,27.54472,3.74306,"(27.54472, 3.74306)"
Acfer 219,227,Valid,H6,2611.0,Found,01/01/1991 12:00:00 AM,27.52139,3.79139,"(27.52139, 3.79139)"
Acfer 244,252,Valid,H6,2045.0,Found,01/01/1991 12:00:00 AM,27.52472,3.80972,"(27.52472, 3.80972)"
Acfer 247,255,Valid,L4,60.0,Found,01/01/1991 12:00:00 AM,27.63611,4.03139,"(27.63611, 4.03139)"
Acfer 255,263,Valid,L6,124.0,Found,01/01/1991 12:00:00 AM,27.64611,4.39722,"(27.64611, 4.39722)"
Acfer 259,267,Valid,H3-6,114.0,Found,01/01/1991 12:00:00 AM,27.52444,3.87361,"(27.52444, 3.87361)"
Acfer 260,268,Valid,H5,177.0,Found,01/01/1991 12:00:00 AM,27.47556,3.71028,"(27.47556, 3.71028)"
Acfer 274,282,Valid,H6,203.0,Found,01/01/1991 12:00:00 AM,27.63389,4.18722,"(27.63389, 4.18722)"
Acfer 278,286,Valid,H5,72.0,Found,01/01/1991 12:00:00 AM,27.63861,4.12722,"(27.63861, 4.12722)"
Acfer 290,298,Valid,L6,213.0,Found,01/01/1992 12:00:00 AM,27.54528,4.04861,"(27.54528, 4.04861)"
Acfer 292,300,Valid,H5,432.0,Found,01/01/1992 12:00:00 AM,27.71861,4.48611,"(27.71861, 4.48611)"
Acfer 300,308,Valid,H6,270.0,Found,01/01/1992 12:00:00 AM,27.59028,4.15194,"(27.59028, 4.15194)"
Acfer 305,313,Valid,L6,369.0,Found,01/01/1992 12:00:00 AM,27.68722,4.18361,"(27.68722, 4.18361)"
Acfer 315,323,Valid,L/LL6,506.0,Found,01/01/1992 12:00:00 AM,27.69972,4.18611,"(27.69972, 4.18611)"
Acfer 331,338,Valid,CM2,750.0,Found,01/01/2001 12:00:00 AM,27.58333,4.01667,"(27.58333, 4.01667)"
Acfer 391,53622,Valid,H4,388.0,Found,01/01/2004 12:00:00 AM,27.59617,4.172,"(27.59617, 4.172)"
Acfer 398,55262,Valid,CR2,97.0,Found,01/01/2001 12:00:00 AM,27.50217,3.86083,"(27.50217, 3.86083)"
ad-Dahbubah,376,Valid,H5,90000.0,Found,01/01/1961 12:00:00 AM,19.83333,51.25,"(19.83333, 51.25)"
Admire,380,Valid,"Pallasite, PMG",180000.0,Found,01/01/1881 12:00:00 AM,38.7,-96.1,"(38.7, -96.1)"
Aguemour 008,407,Valid,L4,79.0,Found,01/01/1992 12:00:00 AM,27.47889,4.19806,"(27.47889, 4.19806)"
Akron (1961),431,Valid,L6,4000.0,Found,01/01/1961 12:00:00 AM,40.15,-103.16667,"(40.15, -103.16667)"
Al Huqf 002,435,Valid,H5,81.4,Found,01/01/2000 12:00:00 AM,19.27167,57.38667,"(19.27167, 57.38667)"
Al Huwaysah 001,55403,Valid,LL6,3150.5,Found,01/01/2009 12:00:00 AM,22.80487,55.32742,"(22.80487, 55.32742)"
Al Huwaysah 008,55409,Valid,H4,356.2,Found,01/01/2010 12:00:00 AM,22.73797,55.32125,"(22.73797, 55.32125)"
Al Huwaysah 011,55411,Valid,L4-5,112.76,Found,01/01/2010 12:00:00 AM,22.75978,55.3908,"(22.75978, 55.3908)"
Al Huwaysah 016,55414,Valid,H5,1330.9,Found,01/01/2010 12:00:00 AM,22.69813,55.3336,"(22.69813, 55.3336)"
Albin (pallasite),455,Valid,"Pallasite, PMG",37600.0,Found,01/01/1915 12:00:00 AM,41.5,-104.1,"(41.5, -104.1)"
Algarrobo,467,Valid,"Iron, IAB-ung",1280.0,Found,01/01/1959 12:00:00 AM,-27.08333,-70.58333,"(-27.08333, -70.58333)"
Alkhamasin,475,Valid,"Iron, IIAB",1200000.0,Found,01/01/1973 12:00:00 AM,20.6,44.88333,"(20.6, 44.88333)"
Allan Hills 06003,44860,Valid,H~5,25.0,Found,01/01/2006 12:00:00 AM,-76.71128,158.79283,"(-76.71128, 158.79283)"
Allan Hills 06007,44864,Valid,H5,226.3,Found,01/01/2006 12:00:00 AM,-76.70552,158.77583,"(-76.70552, 158.77583)"
Allan Hills 06009,44866,Valid,H~5,28.6,Found,01/01/2006 12:00:00 AM,-76.71215,158.77527,"(-76.71215, 158.77527)"
Allan Hills 10910,56771,Valid,L5,444.1,Found,01/01/2010 12:00:00 AM,0.0,0.0,"(0.0, 0.0)"
Allan Hills 82107,483,Valid,L5,9.2,Found,01/01/1982 12:00:00 AM,-76.97697,156.91541,"(-76.97697, 156.91541)"
Allan Hills 82114,490,Valid,H5,40.7,Found,01/01/1982 12:00:00 AM,-77.03648,157.23968,"(-77.03648, 157.23968)"
Allan Hills 82118,494,Valid,L6,110.9,Found,01/01/1982 12:00:00 AM,-77.04408,157.2676,"(-77.04408, 157.2676)"
Allan Hills 82131,507,Valid,CM2,1.0,Found,01/01/1982 12:00:00 AM,-76.88366,156.92815,"(-76.88366, 156.92815)"
Allan Hills 83004,524,Valid,L6,813.9,Found,01/01/1983 12:00:00 AM,-76.81849,158.15713,"(-76.81849, 158.15713)"
Allan Hills 83013,533,Valid,H6,246.3,Found,01/01/1983 12:00:00 AM,-76.75889,159.34611,"(-76.75889, 159.34611)"
Allan Hills 83014,534,Valid,Ureilite,1.3,Found,01/01/1983 12:00:00 AM,-76.82229,158.23233,"(-76.82229, 158.23233)"
Allan Hills 83019,539,Valid,H4,2.6,Found,01/01/1983 12:00:00 AM,-76.82229,158.24188,"(-76.82229, 158.24188)"
Allan Hills 83020,540,Valid,H5,2.9,Found,01/01/1983 12:00:00 AM,-76.81315,158.06767,"(-76.81315, 158.06767)"
Allan Hills 83023,543,Valid,L4,4.2,Found,01/01/1983 12:00:00 AM,-76.82248,158.20557,"(-76.82248, 158.20557)"
Allan Hills 83033,553,Valid,L6,20.7,Found,01/01/1983 12:00:00 AM,-76.69167,159.38472,"(-76.69167, 159.38472)"
Allan Hills 83038,558,Valid,L3.8,86.5,Found,01/01/1983 12:00:00 AM,-76.71769,159.36411,"(-76.71769, 159.36411)"
Allan Hills 83052,572,Valid,L6,52.8,Found,01/01/1983 12:00:00 AM,-76.82326,158.21348,"(-76.82326, 158.21348)"
Allan Hills 83057,577,Valid,H5,62.9,Found,01/01/1983 12:00:00 AM,-76.69389,159.38945,"(-76.69389, 159.38945)"
Allan Hills 83072,592,Valid,H5,1.6,Found,01/01/1983 12:00:00 AM,-76.8128,158.11533,"(-76.8128, 158.11533)"
Allan Hills 83104,599,Valid,H5,2.1,Found,01/01/1983 12:00:00 AM,-76.96391,156.90554,"(-76.96391, 156.90554)"
Allan Hills 83106,601,Valid,CM2,22.3,Found,01/01/1983 12:00:00 AM,-76.96393,156.90753,"(-76.96393, 156.90753)"
Allan Hills 84025,628,Valid,Brachinite,4.6,Found,01/01/1984 12:00:00 AM,-77.02267,157.02695,"(-77.02267, 157.02695)"
Allan Hills 84027,629,Valid,LL7(?),8.0,Found,01/01/1984 12:00:00 AM,-76.90111,156.78436,"(-76.90111, 156.78436)"
Allan Hills 84039,641,Valid,CM2,32.8,Found,01/01/1984 12:00:00 AM,-76.89316,156.95714,"(-76.89316, 156.95714)"
Allan Hills 84051,653,Valid,CM2,34.3,Found,01/01/1984 12:00:00 AM,-77.03939,157.07174,"(-77.03939, 157.07174)"
Allan Hills 84068,670,Valid,H5,1114.1,Found,01/01/1984 12:00:00 AM,-76.92766,156.94055,"(-76.92766, 156.94055)"
Allan Hills 84069,671,Valid,H5,1136.3,Found,01/01/1984 12:00:00 AM,-76.75137,158.84018,"(-76.75137, 158.84018)"
